ticket_id,created_at,topic,channel,region,satisfaction_score,response_text
TK-00001,2024-06-04,Billing,Chat,NA,2,billing gone wrong
TK-00002,2024-04-23,Technical,Chat,MEA,2,best experience
TK-00003,2024-05-06,Billing,Phone,EU,4,excellent service
TK-00004,2024-01-04,Account,Email,NA,2,resolved fast
TK-00005,2024-05-19,Account,Chat,MEA,1,very helpful agent
TK-00006,2024-06-12,Account,Social,MEA,1,okay experience
TK-00007,2024-04-27,Product,Chat,EU,3,terrible experience
TK-00008,2024-08-19,Billing,Chat,APAC,2,okay experience
TK-00009,2024-07-08,Shipping,Email,NA,1,very helpful agent
TK-00010,2024-02-15,Account,Phone,MEA,4,resolved fast
TK-00011,2024-07-28,Technical,Email,MEA,3,billing gone wrong
TK-00012,2024-07-12,Billing,Chat,MEA,4,best experience
TK-00013,2024-04-29,Account,Phone,EU,3,great communication
TK-00014,2024-07-20,Product,Email,EU,3,great communication
TK-00015,2024-07-11,Product,Social,EU,2,billing gone wrong
TK-00016,2024-03-30,Product,Phone,APAC,5,nothing special
TK-00017,2024-04-24,Technical,Social,MEA,4,excellent service
TK-00018,2024-02-07,Billing,Phone,EU,3,okay experience
TK-00019,2024-06-22,Account,Chat,NA,3,nothing special
TK-00020,2024-02-12,Shipping,Chat,EU,3,okay experience
TK-00021,2024-04-30,Billing,Phone,APAC,2,resolved fast
TK-00022,2024-05-05,Account,Chat,APAC,3,it was fine
TK-00023,2024-03-05,Product,Chat,EU,3,best experience
TK-00024,2024-04-28,Account,Phone,MEA,4,okay experience
TK-00025,2024-05-24,Shipping,Social,EU,3,nothing special
TK-00026,2024-01-30,Technical,Email,MEA,3,very helpful agent
TK-00027,2024-07-10,Shipping,Phone,NA,5,okay experience
TK-00028,2024-03-29,Account,Email,EU,5,best experience
TK-00029,2024-02-23,Shipping,Chat,EU,3,quick resolution
TK-00030,2024-03-03,Product,Email,MEA,3,standard support
TK-00031,2024-05-20,Account,Chat,NA,1,excellent service
TK-00032,2024-08-16,Product,Social,MEA,1,billing gone wrong
TK-00033,2024-06-19,Product,Email,MEA,3,best experience
TK-00034,2024-05-19,Account,Email,APAC,2,standard support
TK-00035,2024-03-29,Technical,Phone,NA,1,never received my order
TK-00036,2024-01-31,Account,Email,MEA,3,worst support
TK-00037,2024-07-06,Shipping,Social,MEA,4,it was fine
TK-00038,2024-04-22,Account,Chat,NA,2,worst support
TK-00039,2024-07-02,Billing,Chat,APAC,4,nothing special
TK-00040,2024-03-16,Product,Social,APAC,2,resolved fast
TK-00041,2024-02-06,Account,Social,APAC,4,loved the support
TK-00042,2024-02-07,Product,Chat,APAC,1,unacceptable wait time
TK-00043,2024-01-29,Shipping,Phone,NA,4,loved the support
TK-00044,2024-06-19,Technical,Phone,NA,3,it was fine
TK-00045,2024-06-17,Shipping,Email,APAC,3,quick resolution
TK-00046,2024-03-22,Technical,Social,NA,2,standard support
TK-00047,2024-02-29,Shipping,Email,APAC,3,it was fine
TK-00048,2024-02-11,Billing,Phone,EU,3,okay experience
TK-00049,2024-05-25,Account,Email,EU,4,billing gone wrong
TK-00050,2024-07-03,Account,Phone,APAC,1,standard support
TK-00051,2024-02-02,Product,Phone,NA,4,great communication
TK-00052,2024-07-25,Shipping,Phone,MEA,2,standard support
TK-00053,2024-04-03,Shipping,Social,APAC,3,it was fine
TK-00054,2024-06-25,Account,Chat,NA,2,loved the support
TK-00055,2024-05-12,Product,Chat,NA,1,loved the support
TK-00056,2024-08-18,Technical,Phone,NA,4,billing gone wrong
TK-00057,2024-08-21,Technical,Email,APAC,1,standard support
TK-00058,2024-04-06,Account,Social,APAC,2,rude agent
TK-00059,2024-08-16,Billing,Phone,EU,3,quick resolution
TK-00060,2024-07-08,Shipping,Chat,APAC,2,nothing special
TK-00061,2024-02-02,Shipping,Social,EU,1,it was fine
TK-00062,2024-08-05,Shipping,Chat,MEA,3,very helpful agent
TK-00063,2024-08-19,Shipping,Phone,NA,4,resolved fast
TK-00064,2024-05-06,Technical,Chat,MEA,3,standard support
TK-00065,2024-01-24,Technical,Email,NA,3,nothing special
TK-00066,2024-03-26,Shipping,Email,MEA,2,excellent service
TK-00067,2024-05-16,Product,Phone,NA,2,best experience
TK-00068,2024-08-05,Account,Phone,NA,4,okay experience
TK-00069,2024-01-28,Technical,Chat,EU,2,okay experience
TK-00070,2024-06-11,Product,Social,NA,4,okay experience
TK-00071,2024-06-27,Account,Social,APAC,3,it was fine
TK-00072,2024-06-26,Technical,Social,APAC,4,nothing special
TK-00073,2024-03-17,Billing,Social,NA,2,great communication
TK-00074,2024-02-09,Product,Email,NA,2,great communication
TK-00075,2024-04-30,Product,Social,EU,3,very helpful agent
TK-00076,2024-01-12,Shipping,Social,NA,4,nothing special
