order_id,order_date,region,product,segment,channel,quantity,unit_price,revenue,discount_pct
ORD-000001,2023-06-25,East,Gadget X,Enterprise,Online,5,36.75,183.76,5
ORD-000002,2023-07-16,West,Widget B,SMB,Online,1,153.09,153.09,15
ORD-000003,2024-06-21,East,Widget A,Consumer,Partners,2,439.83,879.65,10
ORD-000004,2024-05-17,,Gadget Y,SMB,Online,3,310.54,931.61,10
ORD-000005,2024-08-02,South,Widget A,Consumer,Retail,4,387.46,1549.83,5
ORD-000006,2023-07-31,South,Widget A,Enterprise,Partners,4,36.61,146.44,15
ORD-000007,2024-09-07,South,Widget B,SMB,Retail,1,472.82,472.82,0
ORD-000008,2023-12-15,West,Widget A,Enterprise,Retail,6,364.79,2188.77,5
ORD-000009,2023-07-05,West,Widget A,SMB,Online,4,176.43,705.7,10
ORD-000010,2024-02-03,North,Widget B,SMB,Retail,3,143.79,431.36,0
ORD-000011,2024-06-19,South,Widget A,Enterprise,Partners,2,261.04,522.08,10
ORD-000012,2024-08-07,North,Widget C,Enterprise,Retail,3,63.39,190.17,0
ORD-000013,2023-12-12,South,Widget B,SMB,Partners,1,120.68,120.68,0
ORD-000014,2024-01-02,South,Gadget Y,Enterprise,Online,2,447.08,894.16,15
ORD-000015,2024-07-08,West,Widget C,Enterprise,Online,4,380.47,1521.87,5
ORD-000016,2024-12-31,East,Gadget X,Enterprise,Online,2,50.7,101.41,0
ORD-000017,2023-06-17,North,Widget A,Consumer,Online,1,134.04,134.04,0
ORD-000018,2023-03-10,East,Gadget X,Consumer,Online,4,16.96,67.86,5
ORD-000019,2024-03-08,North,Widget B,SMB,Online,3,437.49,1312.46,0
ORD-000020,2025-06-14,East,Widget C,Enterprise,Online,4,255.42,1021.67,0
ORD-000021,2024-01-27,North,Service Plan,Consumer,Online,1,49.75,49.75,0
ORD-000022,2024-05-27,West,Widget B,SMB,Online,4,142.9,571.6,5
ORD-000023,2023-03-17,South,Widget A,SMB,Partners,6,456.69,2740.16,5
ORD-000024,2025-04-03,East,Gadget Y,SMB,Online,6,438.24,2629.46,0
ORD-000025,2023-09-08,South,Widget A,Enterprise,Retail,1,493.65,493.65,5
ORD-000026,2023-01-07,South,Widget B,SMB,Online,5,116.98,584.92,0
ORD-000027,2025-02-26,South,Gadget X,Consumer,Online,2,34.0,68.0,0
ORD-000028,2024-03-20,East,Gadget Y,Consumer,Partners,3,181.46,544.38,0
ORD-000029,2023-02-14,North,Gadget Y,SMB,Retail,3,291.09,873.26,0
ORD-000030,2024-12-04,West,Widget B,Enterprise,Retail,2,34.5,69.01,0
ORD-000031,2023-11-22,North,Gadget Y,SMB,Online,3,427.5,1282.51,0
ORD-000032,2025-04-04,,Widget B,Enterprise,Online,2,111.33,222.65,10
ORD-000033,2023-06-02,North,Gadget X,SMB,Partners,3,205.97,617.92,5
ORD-000034,2023-07-03,West,Gadget Y,Enterprise,Retail,3,100.3,300.9,0
ORD-000035,2023-04-23,West,Widget C,SMB,Partners,1,111.61,111.61,0
ORD-000036,2025-02-02,South,Gadget Y,Enterprise,Partners,1,91.16,91.16,0
ORD-000037,2023-07-09,East,Gadget X,Consumer,Online,2,77.2,154.4,5
ORD-000038,2023-10-18,South,Widget C,SMB,Retail,4,300.26,1201.05,15
ORD-000039,2023-11-09,North,Gadget X,Consumer,Online,3,90.15,270.46,20
ORD-000040,2023-07-21,East,Gadget X,SMB,Retail,3,481.51,1444.52,0
ORD-000041,2024-04-07,West,Widget C,Enterprise,Online,4,150.87,603.47,5
ORD-000042,2024-07-04,South,Widget B,Enterprise,Online,6,17.88,107.29,0
ORD-000043,2025-02-11,East,Gadget X,Enterprise,Partners,2,67.17,134.34,15
ORD-000044,2024-05-09,East,Widget A,Consumer,Online,3,63.81,191.43,10
ORD-000045,2023-05-18,West,Widget A,Enterprise,Online,3,127.05,381.15,0
ORD-000046,2025-05-05,East,Gadget Y,SMB,Online,5,263.46,1317.32,0
ORD-000047,2024-04-28,East,Widget A,SMB,Retail,3,381.76,1145.29,0
ORD-000048,2023-07-15,North,Widget A,SMB,Online,2,244.72,489.44,0
ORD-000049,2023-03-14,East,Widget C,Enterprise,Online,2,243.48,486.96,5
ORD-000050,2025-05-01,South,Widget A,SMB,Online,4,438.61,1754.43,5
ORD-000051,2023-09-15,North,Widget B,Consumer,Retail,5,183.53,917.65,15
ORD-000052,2024-12-05,West,Widget B,Consumer,Retail,1,153.98,153.98,0
ORD-000053,2024-02-05,West,Widget B,Consumer,Online,1,320.25,320.25,0
ORD-000054,2024-01-10,North,Service Plan,Enterprise,Partners,3,392.52,1177.56,0
ORD-000055,2023-12-16,West,Gadget X,Enterprise,Retail,3,127.29,381.88,5
ORD-000056,2024-08-27,South,Service Plan,SMB,Online,2,172.92,345.83,5
ORD-000057,2025-02-03,South,Gadget Y,Enterprise,Partners,3,69.04,207.12,0
ORD-000058,2024-08-06,West,Service Plan,SMB,Retail,4,323.68,1294.74,15
ORD-000059,2023-10-07,West,Widget B,Enterprise,Online,3,270.79,812.38,0
ORD-000060,2024-06-06,West,Widget A,Enterprise,Retail,1,220.37,220.37,0
ORD-000061,2025-01-15,West,Widget B,Enterprise,Retail,1,250.27,250.27,5
ORD-000062,2025-03-14,South,Service Plan,Consumer,Retail,3,207.3,621.9,5
ORD-000063,2024-03-24,North,Service Plan,Enterprise,Online,4,315.29,1261.15,0
ORD-000064,2023-11-14,South,Service Plan,Consumer,Retail,3,210.39,631.17,15
ORD-000065,2024-01-27,East,Service Plan,Enterprise,Online,1,300.19,,0
ORD-000066,2023-06-01,West,Gadget X,Enterprise,Online,4,492.95,1971.8,0
ORD-000067,2023-04-03,South,Widget B,SMB,Online,3,236.9,710.69,0
ORD-000068,2025-01-29,,Widget A,Consumer,Online,3,433.35,1300.06,0
ORD-000069,2023-08-13,South,Widget A,Enterprise,Online,4,437.44,1749.74,0
ORD-000070,2024-10-23,South,Widget A,SMB,Online,2,249.67,499.34,0
ORD-000071,2023-12-23,East,Gadget X,Enterprise,Retail,4,313.37,1253.49,5
ORD-000072,2024-04-26,East,Widget C,Enterprise,Partners,4,122.73,490.94,10
ORD-000073,2024-08-02,West,Service Plan,Enterprise,Retail,3,277.85,833.54,5
ORD-000074,2025-06-10,West,Widget A,Consumer,Online,5,392.7,1963.51,0
ORD-000075,2023-08-08,South,Service Plan,Consumer,Partners,2,26.65,53.29,5
ORD-000076,2024-04-26,North,Widget A,Enterprise,Online,2,211.93,423.86,10
ORD-000077,2023-01-20,East,Widget B,Enterprise,Retail,4,438.84,1755.37,5
ORD-000078,2024-05-31,South,Widget B,SMB,Retail,1,486.59,486.59,0
ORD-000079,2025-02-26,South,Widget B,Consumer,Online,4,407.66,1630.65,0
ORD-000080,2023-02-03,West,Widget A,Enterprise,Online,3,416.59,1249.77,0
ORD-000081,2023-05-04,North,Widget A,SMB,Retail,3,155.74,467.23,5
ORD-000082,2023-10-14,West,Widget A,Consumer,Online,4,393.66,1574.65,0
ORD-000083,2024-11-28,East,Widget B,Enterprise,Online,3,26.59,79.76,0
ORD-000084,2025-01-11,South,Service Plan,Enterprise,Online,2,62.84,125.68,0
ORD-000085,2025-04-21,West,Widget B,Consumer,Partners,4,484.8,1939.18,15
ORD-000086,2025-06-14,West,Gadget Y,Consumer,Online,2,109.02,218.05,0
ORD-000087,2024-02-20,South,Widget A,Consumer,Online,4,90.02,360.08,0
ORD-000088,2023-05-11,East,Widget C,Enterprise,Online,2,16.92,33.83,5
